UNKNOWN, UNKNOWN, UNKNOWN, hdap-id-cookie, /appserver/rest/outdialRecordGreeting/983334af-1da3-4c0a-a721-89be064b4da3, 987979e5-1800-4154-9880-2a40cd54519c
UNKNOWN, UNKNOWN, UNKNOWN, hdap-id-cookie, /appserver/rest/v3/searchExtensions, 07a37892-9a0b-4df3-b73f-700249643a7f
UNKNOWN, UNKNOWN, UNKNOWN, credentials-basic, /appserver/rest/users/4000377/extensions/numbers, e61d52b1-b346-4098-b85b-2aef004018ed
UNKNOWN, UNKNOWN, UNKNOWN, credentials-header, /appserver/rest/user/3783387, a0f39b6d-da0b-4014-86f6-391f7bb6e58b
UNKNOWN, UNKNOWN, UNKNOWN, credentials-header, /appserver/rest/object/Account/215713, 185cde10-f2e7-4259-a26f-19e2ed909e83
UNKNOWN, UNKNOWN, UNKNOWN, credentials-header, /appserver/rest/search/AccountServices, e4dcf5e8-1e97-4700-af14-c813624a38a5
UNKNOWN, UNKNOWN, UNKNOWN, credentials-basic, /appserver/rest/search/Account, a666bfa8-91ff-4cfe-b026-8ac87a87084f
UNKNOWN, UNKNOWN, UNKNOWN, credentials-header, /appserver/rest/account/406391/basicAccount, dc848162-e01a-4eea-b1d2-2424c85aea9a
UNKNOWN, UNKNOWN, UNKNOWN, credentials-header, /appserver/rest/user/4000424, 59f0a619-f8bc-439a-9ef5-758d2bdf4caf
UNKNOWN, UNKNOWN, UNKNOWN, credentials-basic, /appserver/rest/users/4000377/extensions/numbers, c975120b-baf4-4cc5-85f6-b6d5595add3a
UNKNOWN, UNKNOWN, UNKNOWN, credentials-header, /appserver/rest/search/grantedPrivileges, 84f5a2fc-128c-4807-8a4a-02faf84a26b9
UNKNOWN, UNKNOWN, UNKNOWN, hdap-id-cookie, /appserver/rest/user/3863428, 45b65d91-7fa3-4cb0-bbc1-4758d238c75f
UNKNOWN, UNKNOWN, UNKNOWN, credentials-header, /appserver/rest/user/3569788, a4f55cc0-349a-4414-8a7c-2acea2872afa
UNKNOWN, UNKNOWN, UNKNOWN, credentials-header, /appserver/rest/object/account/375426, 5de1fae0-6cfa-4aaa-a099-4f7fcf70126b
UNKNOWN, UNKNOWN, UNKNOWN, credentials-header, /appserver/rest/user/3564868, 9d7c0204-2cd0-43ba-839c-194a772fac47
UNKNOWN, UNKNOWN, UNKNOWN, hdap-id-cookie, /appserver/rest/mwbextensions/415, eec2e44b-602d-4be2-abda-9244d9747da6
UNKNOWN, UNKNOWN, UNKNOWN, credentials-header, /appserver/rest/object/account/406391, d2b138a9-3126-4ebd-bf76-bb16674dd0c6
