"request_verb","request_url","calls","duration_seconds_percentile","response_bytes_percentile"
"GET","https://d3chixy237bya4.cloudfront.net:443/appserver/version.properties","1019420","[0.001, 0.001, 0.002, 0.003, 0.007196014426803981]","[1466, 1466, 1466, 1466, 1466]"
"GET","https://d2wa3ahjtxp9uw.cloudfront.net:443/appserver/version.properties","1019324","[0.001, 0.001, 0.002, 0.003, 0.0072359646573079035]","[1466, 1466, 1466, 1466, 1466]"
"GET","/appserver/rest/click2callmeToken/*","423917","[0.002, 0.0020003961176064265, 0.00632922575520795, 0.009674675912226007, 0.018653757558729445]","[1301, 1304, 1308, 1311, 1316]"
"GET","/appserver/rest/user/null","236755","[0.04519655332505237, 0.05483120874627629, 0.07015232540985783, 0.09437762084481802, 0.26472845800980443]","[2291, 2410, 2414, 2418, 2420]"
"GET","/presence/rest/clicktocall/*","49600","[1.1711533595498005, 1.4254028815535178, 1.7635842685439984, 2.0618980286359156, 2.4857222222222313]","[1295, 1297, 1314, 1322, 1325]"
"GET","/appserver/rest/click2callme/*","4740","[0.7341966558322648, 0.8034663259958071, 0.8903096946912736, 1.102905714285715, 2.314]","[1171, 1173, 1183, 1193, 1193]"
"GET","/presence/rest/queue/*","4233","[0.015065492802585196, 0.018330942007211547, 0.05123909465020574, 0.09312580952380954, 0.19]","[1394, 1394, 1395, 1398, 1401]"
"POST","/appserver/rest/provisionEquipment","1508","[2.4841470783036, 13.073597231291629, 14.047092499999998, 14.74477, 16.437]","[176, 176, 1342, 1345, 1349]"
"OPTIONS","/appserver/rest/click2callmeToken/*","1039","[0.002, 0.003, 0.004, 0.006, 0.026]","[1135, 1135, 1135, 1135, 1135]"
"GET","/appserver/rest/account/*/parentAccount","599","[0.02890901571546733, 0.04342592592592592, 0.06448, 0.075, 0.121]","[1312, 1331, 1338, 1342, 1342]"
"GET","/appserver/rest/autoattendantkit/*","18","[0.09, 0.104, 0.134, 0.134, 0.134]","[1606, 1610, 1978, 1978, 1978]"
"PUT","/appserver/rest/autoattendantkit/*","11","[0.492, 0.586, 0.67, 0.67, 0.67]","[1758, 1771, 1826, 1826, 1826]"
